,SATID,satname,program,valid,area_1,area_2
0,,,,0.0,,
1,S00005,Vanguard I,Vanguard Test,1.0,0.01,0.01
2,,,,0.0,,
3,,,,0.0,,
4,S00011,Vanguard II,Vanguard,1.0,0.25,0.25
5,S00012,Vanguard SLV-4 Stage 3,-,1.0,1.05,1.05
6,,,,0.0,,
7,S00016,Vanguard TV-4 Stage 3,-,1.0,1.05,1.05
8,,,,0.0,,
9,,,,0.0,,
10,,,,0.0,,
11,S00020,Vanguard III,Vanguard3,1.0,0.6,0.6
12,S00022,Explorer 7,ExplorerG,1.0,0.64,5.6
13,,,,0.0,,
14,,,,0.0,,
15,,,,0.0,,
16,,,,0.0,,
17,,,,0.0,,
18,S00029,Tiros 1,Tiros,1.0,0.55,1.21
19,,,,0.0,,
20,,,,0.0,,
21,,,,0.0,,
22,,,,0.0,,
23,,,,0.0,,
24,,,,0.0,,
25,,,,0.0,,
26,,,,0.0,,
27,,,,0.0,,
28,,,,0.0,,
29,,,,0.0,,
30,,,,0.0,,
31,,,,0.0,,
32,,,,0.0,,
33,,,,0.0,,
34,S00045,Transit II-A,NNS,1.0,0.81,0.81
35,S00046,Solar Radiation 1,GRAB,1.0,0.09,0.09
36,S00047,Ablestar 003,-,1.0,6.72,6.72
37,,,,0.0,,
38,,,,0.0,,
39,S00050,Delta 2 Stage 3,-,1.0,0.75,0.75
40,S00051,A-11 Canister half,-,1.0,0.28,0.49
41,,,,0.0,,
42,S00053,A-11 Canister half,-,1.0,0.28,0.49
43,,,,0.0,,
44,,,,0.0,,
45,,,,0.0,,
46,,,,0.0,,
47,S00058,Courier 1B,Courier,1.0,1.69,1.69
48,S00059,Ablestar 005,-,1.0,6.72,6.72
49,,,,0.0,,
50,,,,0.0,,
51,,,,0.0,,
52,,,,0.0,,
53,,,,0.0,,
54,,,,0.0,,
55,,,,0.0,,
56,,,,0.0,,
57,,,,0.0,,
58,,,,0.0,,
59,,,,0.0,,
60,,,,0.0,,
61,,,,0.0,,
62,,,,0.0,,
63,,,,0.0,,
64,,,,0.0,,
65,,,,0.0,,
66,,,,0.0,,
67,,,,0.0,,
68,,,,0.0,,
69,,,,0.0,,
70,S00082,Scout ST-4 Stage 4,-,1.0,0.75,0.75
71,,,,0.0,,
72,,,,0.0,,
73,,,,0.0,,
74,,,,0.0,,
75,,,,0.0,,
76,,,,0.0,,
77,,,,0.0,,
78,,,,0.0,,
79,,,,0.0,,
80,,,,0.0,,
81,,,,0.0,,
82,,,,0.0,,
83,,,,0.0,,
84,,,,0.0,,
85,,,,0.0,,
86,,,,0.0,,
87,,,,0.0,,
88,,,,0.0,,
89,,,,0.0,,
90,,,,0.0,,
91,S00107,Explorer 11,ExplorerG,1.0,0.33,0.33
92,,,,0.0,,
93,,,,0.0,,
94,,,,0.0,,
95,S00116,Transit IV-A,NNS,1.0,0.88,1.21
96,S00117,Injun I,Injun,1.0,0.16,0.16
97,S00118,Ablestar 008,-,1.0,6.72,6.72
98,,,,0.0,,
99,,,,0.0,,
100,,,,0.0,,
101,,,,0.0,,
102,,,,0.0,,
103,,,,0.0,,
104,,,,0.0,,
105,,,,0.0,,
106,,,,0.0,,
107,,,,0.0,,
108,,,,0.0,,
109,,,,0.0,,
110,,,,0.0,,
111,,,,0.0,,
112,,,,0.0,,
113,,,,0.0,,
114,,,,0.0,,
115,,,,0.0,,
116,,,,0.0,,
117,,,,0.0,,
118,,,,0.0,,
119,,,,0.0,,
120,,,,0.0,,
121,,,,0.0,,
122,,,,0.0,,
123,,,,0.0,,
124,,,,0.0,,
125,,,,0.0,,
126,,,,0.0,,
127,,,,0.0,,
128,,,,0.0,,
129,,,,0.0,,
130,,,,0.0,,
131,,,,0.0,,
132,,,,0.0,,
133,,,,0.0,,
134,,,,0.0,,
135,,,,0.0,,
136,,,,0.0,,
137,,,,0.0,,
138,,,,0.0,,
139,,,,0.0,,
140,,,,0.0,,
141,S00162,Tiros 3,Tiros,1.0,0.55,1.21
142,S00163,Midas 3,MIDAS ETS-II,1.0,3.0,3.0
143,,,,0.0,,
144,,,,0.0,,
145,,,,0.0,,
146,,,,0.0,,
147,,,,0.0,,
148,,,,0.0,,
149,,,,0.0,,
150,,,,0.0,,
151,,,,0.0,,
152,,,,0.0,,
153,,,,0.0,,
154,,,,0.0,,
155,,,,0.0,,
156,,,,0.0,,
157,,,,0.0,,
158,,,,0.0,,
159,,,,0.0,,
160,,,,0.0,,
161,,,,0.0,,
162,,,,0.0,,
163,,,,0.0,,
164,,,,0.0,,
165,,,,0.0,,
