,NORAD_ID,satname,area_1,area_2,valid,program
0,S00004,EXPLORER 1,,,,
1,S00005,VANGUARD 1,0.01,0.01,1.0,Vanguard Test
2,S00008,SPUTNIK 3,,,,
3,S00009,EXPLORER 4,,,,
4,S00011,VANGUARD 2,0.25,0.25,1.0,Vanguard
5,S00012,VANGUARD R/B,1.05,1.05,1.0,-
6,S00015,EXPLORER 6,,,,
7,S00016,VANGUARD R/B,1.05,1.05,1.0,-
8,S00017,THOR ABLE R/B,,,,
9,S00018,DISCOVERER 5,,,,
10,S00019,DISCOVERER 6,,,,
11,S00020,VANGUARD 3,0.6,0.6,1.0,Vanguard3
12,S00022,EXPLORER 7,0.64,5.6,1.0,ExplorerG
13,S00023,JUNO II R/B,,,,
14,S00024,DISCOVERER 7,,,,
15,S00025,DISCOVERER 8,,,,
16,S00026,DISCOVERER 5 CAPSULE,,,,
17,S00028,THOR ABLE R/B,,,,
18,S00029,TIROS 1,0.55,1.21,1.0,Tiros
19,S00030,THOR ABLESTAR R/B,,,,
20,S00031,TRANSIT 1B,,,,
21,S00032,DISCOVERER 11,,,,
22,S00033,THOR ABLESTAR DEB,,,,
23,S00034,SPUTNIK 4,,,,
24,S00035,SL-3 R/B,,,,
25,S00036,SPUTNIK 4 CABIN,,,,
26,S00037,SPUTNIK 4 DEB,,,,
27,S00038,SPUTNIK 4 DEB,,,,
28,S00039,SPUTNIK 4 DEB,,,,
29,S00040,SPUTNIK 4 DEB,,,,
30,S00041,SPUTNIK 4 DEB,,,,
31,S00042,SPUTNIK 4 DEB,,,,
32,S00043,MIDAS 2,,,,
33,S00044,MIDAS 2 DEB,,,,
34,S00045,TRANSIT 2A,0.81,0.81,1.0,NNS
35,S00046,SOLRAD 1 (GREB),0.09,0.09,1.0,GRAB
36,S00047,THOR ABLESTAR R/B,6.72,6.72,1.0,-
37,S00048,DISCOVERER 13,,,,
38,S00049,ECHO 1,,,,
39,S00050,DELTA 1 R/B,0.75,0.75,1.0,-
40,S00051,ECHO 1 DEB (METAL OBJ),0.28,0.49,1.0,-
41,S00052,ECHO 1 DEB (MYLAR OBJ),,,,
42,S00053,ECHO 1 DEB (METAL OBJ),0.28,0.49,1.0,-
43,S00054,DISCOVERER 14,,,,
44,S00055,SPUTNIK 5,,,,
