#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Observation Type, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type
#@string, string, string, string, string, string, string, string, string, string, ra, dec, int, float, float, float, string
intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type
science,HST,CALWF3,WFC3/UVIS,HST,F350LP,OPTICAL,LOGOS,ASTEROID; TRANS-NEPTUNIAN SYSTEM,ifot05h3q,194.5446559006,-3.425500781997,3,61081.6485564815,230,61262.97358789,GO
science,HST,CALWF3,WFC3/UVIS,HST,F350LP,OPTICAL,LOGOS,ASTEROID; TRANS-NEPTUNIAN SYSTEM,ifot05h5q,194.5445208777,-3.425445436335,3,61081.6558016551,230,61262.97347215,GO
science,HST,CALWF3,WFC3/UVIS,HST,F350LP,OPTICAL,LOGOS,ASTEROID; TRANS-NEPTUNIAN SYSTEM,ifot05h4q,194.544621792,-3.425530423096,3,61081.6521790856,230,61262.97403924,GO
science,HST,CALWF3,WFC3/UVIS,HST,F336W,OPTICAL,P330E,CALIBRATION;PHOTOMETRIC,ifqj12030,247.8908111477,30.14594122095,3,61084.2141927894,54,61084.640162,CAL/WFC3
science,HST,CALWF3,WFC3/IR,HST,G141,INFRARED,TOI-1759,STAR;EXTRA-SOLAR PLANETARY SYSTEM,ifa625klq,326.8459626943,62.75183818252,3,61082.2632799769,112.007996,61082.39244211,GO
science,HST,CALACS,ACS/WFC,HST,F814W,OPTICAL,ANY,UNIDENTIFIED;PARALLEL FIELD,jfoq65010,188.0559371126,14.36910992049,3,61090.3356164005,980,61090.54341419,GO
science,HST,CALWF3,WFC3/IR,HST,F140W,INFRARED,2MASS-J17430448+6655015,STAR;A4-A9 III-I,ifk817bhq,265.7775095146,66.91671178518,3,61087.0875459143,1.706054,61087.24127312,CAL/WFC3
science,HST,CALWF3,WFC3/IR,HST,G141,INFRARED,2MASS-J17430448+6655015,STAR;A4-A9 III-I,ifk817bgq,265.7748273385,66.91851025722,3,61087.0864348032,27.146589,61087.24134257,CAL/WFC3
science,HST,CALACS,ACS/WFC,HST,F606W,OPTICAL,ANY,UNIDENTIFIED;PARALLEL FIELD,jfoq65tbq,188.055112136,14.36972126718,3,61090.3553038194,490,61090.54501142,GO
science,HST,CALWF3,WFC3/UVIS,HST,F657N,OPTICAL,NGC4501-N,GALAXY;SPIRAL,ifoq65020,187.9859395833,14.43716944444,3,61090.3349801736,2130,61090.55834477,GO
science,HST,CALWF3,WFC3/UVIS,HST,F475W,OPTICAL,P330E,CALIBRATION;PHOTOMETRIC,ifqj12060,247.8908111477,30.14594122088,3,61084.2174683218,6,61084.64039344,CAL/WFC3
science,HST,CALWF3,WFC3/UVIS,HST,F275W,UV,UGC04305-1,GALAXY;SPIRAL ARM;STAR FORMING REGION,ifpv99020,124.6128081803,70.72410836003,3,61082.1884986921,1500,61082.41356477,SNAP
science,HST,CALWF3,WFC3/UVIS,HST,F275W,UV,GSPC-P177-D,STAR;G III-I,ifk801040,239.8048303243,47.61164381946,3,61082.062503125,400,61082.17226849,CAL/WFC3
science,HST,CALACS,ACS/WFC,HST,FR388N,OPTICAL,J1154,GALAXY;DWARF COMPACT;STARBURST,jfgv06010,178.7035416667,24.72584166667,3,61090.4009867708,2270,61271.717199,GO
science,HST,CALWF3,WFC3/IR,HST,F139M,INFRARED,TOI-1759,STAR;EXTRA-SOLAR PLANETARY SYSTEM,ifa625khq,326.8505446199,62.7537838004,3,61082.2571573727,1.66689,61082.39237267,GO
science,HST,CALWF3,WFC3/IR,HST,G102,INFRARED,GSPC-P177-D,STAR;G III-I,ifk801i7q,239.8083362638,47.61310323621,3,61082.0488999653,24.225082,61082.1701389,CAL/WFC3
science,HST,CALWF3,WFC3/IR,HST,F140W,INFRARED,GSPC-P177-D,STAR;G III-I,ifk801igq,239.8067126096,47.61487587765,3,61082.0562147801,0.853027,61082.17028936,CAL/WFC3
science,HST,CALWF3,WFC3/IR,HST,G102,INFRARED,GSPC-P177-D,STAR;G III-I,ifk801ibq,239.8067126096,47.61487587762,3,61082.0522795949,24.225082,61082.17015047,CAL/WFC3
science,HST,CALWF3,WFC3/UVIS,HST,F350LP,OPTICAL,2MASS-J17430448+6655015,STAR;A4-A9 III-I,ifk8170b0,265.7687111381,66.91710800935,3,61087.1046675926,0.96,61087.24321763,CAL/WFC3
science,HST,CALWF3,WFC3/IR,HST,G102,INFRARED,2MASS-J17430448+6655015,STAR;A4-A9 III-I,ifk817bcq,265.7721447672,66.92030868398,3,61087.0832518171,35.91111,61087.24138886,CAL/WFC3
science,HST,CALWF3,WFC3/IR,HST,F105W,INFRARED,2MASS-J17430448+6655015,STAR;A4-A9 III-I,ifk817050,265.7686275143,66.91760383059,3,61087.0967292477,2.77815,61087.24141201,CAL/WFC3
science,HST,CALWF3,WFC3/IR,HST,G141,INFRARED,TOI-1759,STAR;EXTRA-SOLAR PLANETARY SYSTEM,ifa625kqq,326.8525528453,62.75463642501,3,61082.2720184838,112.007996,61082.39232632,GO
science,HST,CALWF3,WFC3/UVIS,HST,F410M,OPTICAL,NGC-188-DENSE,STELLAR CLUSTER;OPEN CLUSTER,ifme02jsq,11.72072052545,85.25445868111,3,61082.1287301736,350,61082.33192129,CAL/WFC3
science,HST,CALWF3,WFC3/IR,HST,F098M,INFRARED,GSPC-P177-D,STAR;G III-I,ifk801iaq,239.809959808,47.61133057194,3,61082.0514114583,0.853027,61082.17008097,CAL/WFC3
science,HST,CALACS,ACS/WFC,HST,F502N,OPTICAL,ANY,UNIDENTIFIED;PARALLEL FIELD,jfme02jtq,10.56057529358,85.25964211168,3,61082.1287869213,350,61082.37292827,CAL/WFC3
science,HST,CALWF3,WFC3/UVIS,HST,F438W,OPTICAL,NGC2403-0,GALAXY;SPIRAL ARM;STAR FORMING REGION,ifpv53010,113.7968766026,65.74437105292,3,61083.2977809028,300,61084.16645831,SNAP
science,HST,CALWF3,WFC3/UVIS,HST,F350LP,OPTICAL,LOGOS,ASTEROID; TRANS-NEPTUNIAN SYSTEM,ifot05h7q,194.544397253,-3.425389569394,3,61081.6630472222,230,61262.97358789,GO
science,HST,CALWF3,WFC3/UVIS,HST,F275W,UV,P330E,CALIBRATION;PHOTOMETRIC,ifqj12010,247.8908111478,30.14594122103,3,61084.2106398148,260,61084.64103007,CAL/WFC3
science,HST,CALWF3,WFC3/IR,HST,G141,INFRARED,TOI-1759,STAR;EXTRA-SOLAR PLANETARY SYSTEM,ifa625kjq,326.8459626953,62.75183818255,3,61082.2597844097,112.007996,61082.39243054,GO
science,HST,CALWF3,WFC3/UVIS,HST,F410M,OPTICAL,NGC-188-DENSE,STELLAR CLUSTER;OPEN CLUSTER,ifme02jqq,11.72072052545,85.25445868111,3,61082.122503125,350,61082.3308217,CAL/WFC3
science,HST,CALWF3,WFC3/UVIS,HST,F606W,OPTICAL,GSPC-P177-D,STAR;G III-I,ifk801060,239.8048303243,47.61164381949,3,61082.0667857292,3,61082.17285877,CAL/WFC3
science,HST,CALWF3,WFC3/IR,HST,F140W,INFRARED,GSPC-P177-D,STAR;G III-I,ifk801020,239.8047889136,47.61195312713,3,61082.0590555208,1.11126,61082.17052084,CAL/WFC3
science,HST,CALACS,ACS/WFC,HST,F502N,OPTICAL,ANY,UNIDENTIFIED;PARALLEL FIELD,jfme02jxq,10.56057529358,85.25964211168,3,61082.142178044,350,61082.37641194,CAL/WFC3
science,HST,CALWF3,WFC3/UVIS,HST,F275W,UV,NGC2403-0,GALAXY;SPIRAL ARM;STAR FORMING REGION,ifpv53020,113.7968766026,65.74437105292,3,61083.3014153588,1500,61084.17048612,SNAP
science,HST,CALWF3,WFC3/UVIS,HST,F350LP,OPTICAL,LOGOS,ASTEROID; TRANS-NEPTUNIAN SYSTEM,ifot05h1q,194.5447601493,-3.425587524959,3,61081.6449335301,230,61262.97380775,GO
science,HST,CALWF3,WFC3/UVIS,HST,F200LP,OPTICAL,P330E,CALIBRATION;PHOTOMETRIC,ifqj12020,247.8908111477,30.14594122097,3,61084.2130935185,2,61084.640162,CAL/WFC3
science,HST,CALWF3,WFC3/IR,HST,G141,INFRARED,TOI-1759,STAR;EXTRA-SOLAR PLANETARY SYSTEM,ifa625kkq,326.8525528484,62.7546364251,3,61082.2615321759,112.007996,61082.39244211,GO
science,HST,CALWF3,WFC3/UVIS,HST,F814W,OPTICAL,P330E,CALIBRATION;PHOTOMETRIC,ifqj120c0,247.8908111477,30.14594122074,3,61084.2238109144,6,61084.64114581,CAL/WFC3
science,HST,CALACS,ACS/SBC,HST,F165LP,UV,QSO-J1130-1449-FIELD1,GALAXY;LYMAN ALPHA CLOUD;QSO;SPIRAL,jffi02010,172.5322561034,-14.82279966365,3,61084.5165549768,2360,61266.07282405,GO
science,HST,CALWF3,WFC3/IR,HST,F098M,INFRARED,2MASS-J17430448+6655015,STAR;A4-A9 III-I,ifk817bdq,265.7775095146,66.91671178518,3,61087.0845251505,1.706054,61087.24121525,CAL/WFC3
science,HST,CALWF3,WFC3/IR,HST,G102,INFRARED,2MASS-J17430448+6655015,STAR;A4-A9 III-I,ifk817baq,265.7748273385,66.91851025722,3,61087.0817359144,35.91111,61087.24127312,CAL/WFC3
science,HST,CALWF3,WFC3/UVIS,HST,F438W,OPTICAL,UGC04305-1,GALAXY;SPIRAL ARM;STAR FORMING REGION,ifpv99010,124.6128081803,70.72410836003,3,61082.1848642361,300,61082.40987266,SNAP
science,HST,CALWF3,WFC3/IR,HST,G141,INFRARED,TOI-1759,STAR;EXTRA-SOLAR PLANETARY SYSTEM,ifa625kmq,326.8525528474,62.75463642507,3,61082.2650277431,112.007996,61082.39244211,GO
science,HST,CALWF3,WFC3/IR,HST,F140W,INFRARED,2MASS-J17430448+6655015,STAR;A4-A9 III-I,ifk817bfq,265.7748273385,66.91851025722,3,61087.0860414352,1.706054,61087.24121525,CAL/WFC3
science,HST,CALWF3,WFC3/IR,HST,F140W,INFRARED,2MASS-J17430448+6655015,STAR;A4-A9 III-I,ifk817bjq,265.7721447673,66.92030868398,3,61087.0891084838,1.706054,61087.24121525,CAL/WFC3
science,HST,CALWF3,WFC3/IR,HST,F098M,INFRARED,2MASS-J17430448+6655015,STAR;A4-A9 III-I,ifk817bbq,265.7721447672,66.92030868398,3,61087.0829510764,1.706054,61087.24126155,CAL/WFC3
science,HST,CALWF3,WFC3/UVIS,HST,F336W,OPTICAL,2MASS-J17430448+6655015,STAR;A4-A9 III-I,ifk817070,265.7687111381,66.91710800935,3,61087.1004083333,32,61087.24384259,CAL/WFC3
science,HST,CALWF3,WFC3/IR,HST,F125W,INFRARED,2MASS-J17430448+6655015,STAR;A4-A9 III-I,ifk817030,265.7681773366,66.91669577854,3,61087.0938355324,4,61087.24140044,CAL/WFC3
science,HST,CALWF3,WFC3/UVIS,HST,F814W,OPTICAL,LEO-II,GALAXY;DWARF SPHEROIDAL,ifpq02040,168.3668558022,22.15258748394,3,61090.6701768519,3468,61271.96604154,GO
science,HST,CALACS,ACS/WFC,HST,F606W,OPTICAL,UGC-7346,GALAXY;DWARF ELLIPTICAL;LSB,jffw01010,184.6741333333,17.71909166667,3,61094.7133712616,1949,61275.9464582,GO
science,HST,CALACS,ACS/WFC,HST,FR388N,OPTICAL,SDSSJ1326+4806,GALAXY;QUASAR,jfju06010,201.49875,48.11291666667,3,61086.6826305208,6992,61268.42416665,GO
science,HST,CALWF3,WFC3/IR,HST,G141,INFRARED,2MASS-J17430448+6655015,STAR;A4-A9 III-I,ifk817biq,265.7775095146,66.91671178518,3,61087.0879395833,27.146589,61087.24134257,CAL/WFC3
science,HST,CALWF3,WFC3/IR,HST,G141,INFRARED,TOI-1759,STAR;EXTRA-SOLAR PLANETARY SYSTEM,ifa625kiq,326.8525528494,62.75463642512,3,61082.2580370023,112.007996,61082.39237267,GO
science,HST,CALWF3,WFC3/IR,HST,G102,INFRARED,GSPC-P177-D,STAR;G III-I,ifk801i9q,239.8067126096,47.6148758776,3,61082.0502773958,24.225082,61082.1701389,CAL/WFC3
science,HST,CALWF3,WFC3/UVIS,HST,F475W,OPTICAL,GSPC-P177-D,STAR;G III-I,ifk801050,239.8048303243,47.61164381948,3,61082.0658135069,4,61082.1729167,CAL/WFC3
science,HST,CALWF3,WFC3/IR,HST,F140W,INFRARED,J1514+3636,GALAXY;GRAVITATIONAL LENS;HIGH REDSHIFT GALAXY,ifh506010,228.5927791667,36.60707222222,3,61082.9602866551,406,61265.0245254,GO
science,HST,CALWF3,WFC3/UVIS,HST,F350LP,OPTICAL,LOGOS,ASTEROID; TRANS-NEPTUNIAN SYSTEM,ifot05h6q,194.5444994587,-3.425474939476,3,61081.6594242708,230,61262.97381933,GO
science,HST,CALWF3,WFC3/UVIS,HST,F225W,UV,NGC-1569,GALAXY;STARBURST,if7p62030,67.70430017099,64.84811734945,3,61083.1931627662,2522,61265.12481485,GO
science,HST,CALWF3,WFC3/IR,HST,G141,INFRARED,TOI-1759,STAR;EXTRA-SOLAR PLANETARY SYSTEM,ifa625koq,326.8525528463,62.75463642504,3,61082.2685229514,112.007996,61082.39244211,GO
science,HST,CALWF3,WFC3/IR,HST,F140W,INFRARED,GSPC-P177-D,STAR;G III-I,ifk801icq,239.8083362638,47.61310323625,3,61082.0533559028,0.853027,61082.17015047,CAL/WFC3
science,HST,CALWF3,WFC3/UVIS,HST,F656N,OPTICAL,NGC4192-S,GALAXY;SPIRAL,ifoq43020,183.4733125,14.85657777778,3,61090.5956283218,2130,61090.97971058,GO
science,HST,CALWF3,WFC3/IR,HST,G141,INFRARED,2MASS-J17430448+6655015,STAR;A4-A9 III-I,ifk817bkq,265.7721447673,66.92030868398,3,61087.0895018171,27.146589,61087.24121525,CAL/WFC3
science,HST,CALWF3,WFC3/IR,HST,F098M,INFRARED,2MASS-J17430448+6655015,STAR;A4-A9 III-I,ifk817b9q,265.7748273385,66.91851025722,3,61087.0814348032,1.706054,61087.24131942,CAL/WFC3
science,HST,CALACS,ACS/WFC,HST,FR853N,OPTICAL,GB1347+5453,GALAXY;EMISSION LINE NEBULA;SEYFERT,jfg605020,206.7880208333,54.88636944444,3,61086.9449916319,2362,61268.21342598,GO
science,HST,CALWF3,WFC3/UVIS,HST,F606W,OPTICAL,P330E,CALIBRATION;PHOTOMETRIC,ifqj12080,247.8908111477,30.14594122083,3,61084.2195401968,3,61084.64074066,CAL/WFC3
science,HST,CALACS,ACS/WFC,HST,FR423N,OPTICAL,SGASJ1110+6459-POS2,GALAXY;GRAVITATIONAL LENS;HIGH REDSHIFT GALAXY;STAR FORMING REGION,jffh02010,167.5837483333,64.997875,3,61081.7861246875,10262,61263.35408562,GO
science,HST,CALWF3,WFC3/UVIS,HST,F350LP,OPTICAL,LOGOS,ASTEROID; TRANS-NEPTUNIAN SYSTEM,ifot05h8q,194.5443675898,-3.42542869603,3,61081.6666698264,230,61262.97358789,GO
science,HST,CALACS,ACS/WFC,HST,F814W,OPTICAL,ANY,UNIDENTIFIED;PARALLEL FIELD,jfpq02020,168.4676668859,22.13001905688,3,61090.6720052894,2919,61272.02717589,GO
science,HST,CALACS,ACS/WFC,HST,FR388N,OPTICAL,J1154,GALAXY;DWARF COMPACT;STARBURST,jfgv06030,178.7035416667,24.72584166667,3,61090.5304427083,2332,61271.97368044,GO
science,HST,CALACS,ACS/WFC,HST,F606W,OPTICAL,ANY,UNIDENTIFIED;PARALLEL FIELD,jfoq43uaq,183.5225702334,14.77429560521,3,61090.6159507292,490,61090.96645821,GO
science,HST,CALWF3,WFC3/IR,HST,G102,INFRARED,2MASS-J17430448+6655015,STAR;A4-A9 III-I,ifk817beq,265.7775095146,66.91671178518,3,61087.0848258912,35.91111,61087.24121525,CAL/WFC3
science,HST,CALWF3,WFC3/IR,HST,F153M,INFRARED,2MASS-J17430448+6655015,STAR;A4-A9 III-I,ifk817010,265.7687111381,66.91710800935,3,61087.0906644329,24.018578,61087.24140044,CAL/WFC3
science,HST,CALWF3,WFC3/IR,HST,G141,INFRARED,TOI-1759,STAR;EXTRA-SOLAR PLANETARY SYSTEM,ifa625kpq,326.8459626922,62.75183818246,3,61082.2702707176,112.007996,61082.39251156,GO
science,HST,CALWF3,WFC3/UVIS,HST,F410M,OPTICAL,NGC-188-DENSE,STELLAR CLUSTER;OPEN CLUSTER,ifme02jzq,11.72072052545,85.25445868111,3,61082.1477809028,350,61082.3353472,CAL/WFC3
science,HST,CALWF3,WFC3/IR,HST,G141,INFRARED,GSPC-P177-D,STAR;G III-I,ifk801ihq,239.8067126096,47.61487587765,3,61082.0566084838,18.382069,61082.17015047,CAL/WFC3
science,HST,CALWF3,WFC3/IR,HST,F098M,INFRARED,GSPC-P177-D,STAR;G III-I,ifk801i6q,239.8083362638,47.61310323621,3,61082.0485992245,0.853027,61082.1701389,CAL/WFC3
science,HST,CALACS,ACS/WFC,HST,FR656N,OPTICAL,GB1347+5453,GALAXY;EMISSION LINE NEBULA;SEYFERT,jfg605010,206.7880208333,54.88636944444,3,61086.8809405093,2252,61268.19032409,GO
